rho,l,C11,C12,C44,duration,name,material,R,z1,l/R,Ct,eta1,eta2,eta3,eta4,eta5,eta6,count_eta1,count_eta2,count_eta3,count_eta4,count_eta5,count_eta6,link
3.515,2.0,1280000000.0,124000000.0,578000000.0,14829.828164,CaCube_8.05_2.0_20250428-105421,Carbonium,4.993822858247082,0.0,0.4004947826086956,12823.342868880141,0.1726301,0.1728958,0.1731888,0.1734534,0.1740367,0.1791922,3,2,3,3,1,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos\CaCube_8.05_2.0_0.0_20250428-105421.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,14829.828164,CaCube_8.05_2.0_20250428-105421,Carbonium,4.993822858247082,0.1,0.4004947826086956,12823.342868880141,0.7670178,1.0190282,1.0343028,1.0549099,1.0610198,1.0909871,2,3,1,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos\CaCube_8.05_2.0_0.1_20250428-105421.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,14829.828164,CaCube_8.05_2.0_20250428-105421,Carbonium,4.993822858247082,0.2,0.4004947826086956,12823.342868880141,0.9446539,1.2556822,1.3181353,1.3501165,1.3582308,1.4272591,2,3,3,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos\CaCube_8.05_2.0_0.2_20250428-105421.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,14829.828164,CaCube_8.05_2.0_20250428-105421,Carbonium,4.993822858247082,0.3,0.4004947826086956,12823.342868880141,1.0889283,1.4463449,1.5228279,1.5904799,1.6045408,1.6769592,2,3,3,3,1,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos\CaCube_8.05_2.0_0.3_20250428-105421.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,14829.828164,CaCube_8.05_2.0_20250428-105421,Carbonium,4.993822858247082,0.4,0.4004947826086956,12823.342868880141,1.2148139,1.6125671,1.700442,1.765462,1.8237155,1.8635753,2,3,3,3,1,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos\CaCube_8.05_2.0_0.4_20250428-105421.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,14829.828164,CaCube_8.05_2.0_20250428-105421,Carbonium,4.993822858247082,0.5,0.4004947826086956,12823.342868880141,1.3282613,1.7623784,1.8601401,1.9051138,2.0192031,2.0464868,2,3,3,3,1,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos\CaCube_8.05_2.0_0.5_20250428-105421.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,14829.828164,CaCube_8.05_2.0_20250428-105421,Carbonium,4.993822858247082,0.6,0.4004947826086956,12823.342868880141,1.4324754,1.9000279,2.006669,2.0279325,2.1973507,2.2184242,2,3,3,3,1,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos\CaCube_8.05_2.0_0.6_20250428-105421.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,14829.828164,CaCube_8.05_2.0_20250428-105421,Carbonium,4.993822858247082,0.7,0.4004947826086956,12823.342868880141,1.5294508,2.028145,2.1406323,2.142927,2.3620916,2.379254,2,3,3,3,1,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos\CaCube_8.05_2.0_0.7_20250428-105421.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,14829.828164,CaCube_8.05_2.0_20250428-105421,Carbonium,4.993822858247082,0.8,0.4004947826086956,12823.342868880141,1.6205398,2.148509,2.2460566,2.2708585,2.5160637,2.5303984,2,3,3,3,1,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos\CaCube_8.05_2.0_0.8_20250428-105421.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,14829.828164,CaCube_8.05_2.0_20250428-105421,Carbonium,4.993822858247082,0.9,0.4004947826086956,12823.342868880141,1.7067137,2.2623972,2.3457681,2.3918512,2.6611385,2.6701496,2,3,3,3,1,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos\CaCube_8.05_2.0_0.9_20250428-105421.json&mode=6&magnif=6
