rho,l,C11,C12,C44,duration,name,material,R,z1,l/R,Ct,eta1,eta2,eta3,eta4,eta5,eta6
3.515,2.0,1280000000.0,124000000.0,578000000.0,14829.828164,CaCube_8.05_2.0_20250428-105421,Carbonium,4.993796526054591,0.0,0.40049689440993785,12823.342868880141,0.1726291,0.1728949,0.1731879,0.1734525,0.1740358,0.1791913
3.515,2.0,1280000000.0,124000000.0,578000000.0,14829.828164,CaCube_8.05_2.0_20250428-105421,Carbonium,4.993796526054591,0.1,0.40049689440993785,12823.342868880141,0.7670138,1.0190228,1.0342974,1.0549043,1.0610142,1.0909814
3.515,2.0,1280000000.0,124000000.0,578000000.0,14829.828164,CaCube_8.05_2.0_20250428-105421,Carbonium,4.993796526054591,0.2,0.40049689440993785,12823.342868880141,0.9446489,1.2556756,1.3181284,1.3501094,1.3582237,1.4272515
3.515,2.0,1280000000.0,124000000.0,578000000.0,14829.828164,CaCube_8.05_2.0_20250428-105421,Carbonium,4.993796526054591,0.3,0.40049689440993785,12823.342868880141,1.0889226,1.4463373,1.5228199,1.5904715,1.6045324,1.6769504
3.515,2.0,1280000000.0,124000000.0,578000000.0,14829.828164,CaCube_8.05_2.0_20250428-105421,Carbonium,4.993796526054591,0.4,0.40049689440993785,12823.342868880141,1.2148075,1.6125586,1.7004331,1.7654527,1.8237059,1.8635655
3.515,2.0,1280000000.0,124000000.0,578000000.0,14829.828164,CaCube_8.05_2.0_20250428-105421,Carbonium,4.993796526054591,0.5,0.40049689440993785,12823.342868880141,1.3282543,1.7623691,1.8601303,1.9051038,2.0191924,2.046476
3.515,2.0,1280000000.0,124000000.0,578000000.0,14829.828164,CaCube_8.05_2.0_20250428-105421,Carbonium,4.993796526054591,0.6,0.40049689440993785,12823.342868880141,1.4324679,1.9000178,2.0066584,2.0279218,2.1973391,2.2184125
3.515,2.0,1280000000.0,124000000.0,578000000.0,14829.828164,CaCube_8.05_2.0_20250428-105421,Carbonium,4.993796526054591,0.7,0.40049689440993785,12823.342868880141,1.5294428,2.0281343,2.140621,2.1429157,2.3620791,2.3792415
3.515,2.0,1280000000.0,124000000.0,578000000.0,14829.828164,CaCube_8.05_2.0_20250428-105421,Carbonium,4.993796526054591,0.8,0.40049689440993785,12823.342868880141,1.6205313,2.1484977,2.2460448,2.2708465,2.5160504,2.530385
3.515,2.0,1280000000.0,124000000.0,578000000.0,14829.828164,CaCube_8.05_2.0_20250428-105421,Carbonium,4.993796526054591,0.9,0.40049689440993785,12823.342868880141,1.7067047,2.2623853,2.3457557,2.3918386,2.6611245,2.6701356
3.515,2.0,1280000000.0,124000000.0,578000000.0,14829.828164,CaCube_8.05_2.0_20250428-105421,Carbonium,4.993796526054591,1.0,0.40049689440993785,12823.342868880141,1.7886903,2.3707533,2.4407569,2.5069263,2.7719069,2.7986863
3.515,5.0,1280000000.0,124000000.0,578000000.0,14828.138942,CaCube_8.05_5.0_20250428-105421,Carbonium,4.993796526054591,0.0,1.0012422360248447,12823.342868880141,0.0278462,0.0278486,0.0279001,0.0279684,0.0280517,0.0289857
3.515,5.0,1280000000.0,124000000.0,578000000.0,14828.138942,CaCube_8.05_5.0_20250428-105421,Carbonium,4.993796526054591,0.1,1.0012422360248447,12823.342868880141,0.5881836,0.7809983,0.8243615,0.8786896,0.8933707,0.9114688
3.515,5.0,1280000000.0,124000000.0,578000000.0,14828.138942,CaCube_8.05_5.0_20250428-105421,Carbonium,4.993796526054591,0.2,1.0012422360248447,12823.342868880141,0.8144149,1.0803309,1.1414612,1.1736437,1.2568745,1.2661968
3.515,5.0,1280000000.0,124000000.0,578000000.0,14828.138942,CaCube_8.05_5.0_20250428-105421,Carbonium,4.993796526054591,0.3,1.0012422360248447,12823.342868880141,0.9901348,1.3129782,1.3877394,1.3988768,1.5366683,1.5452768
3.515,5.0,1280000000.0,124000000.0,578000000.0,14828.138942,CaCube_8.05_5.0_20250428-105421,Carbonium,4.993796526054591,0.4,1.0012422360248447,12823.342868880141,1.1390378,1.5101715,1.5910022,1.5964296,1.7728407,1.7814463
3.515,5.0,1280000000.0,124000000.0,578000000.0,14828.138942,CaCube_8.05_5.0_20250428-105421,Carbonium,4.993796526054591,0.5,1.0012422360248447,12823.342868880141,1.2706003,1.684425,1.7617499,1.7808161,1.9810548,1.9898531
3.515,5.0,1280000000.0,124000000.0,578000000.0,14828.138942,CaCube_8.05_5.0_20250428-105421,Carbonium,4.993796526054591,0.6,1.0012422360248447,12823.342868880141,1.3897596,1.8422646,1.9170962,1.9478193,2.1693759,2.1784404
