rho,l,C11,C12,C44,duration,name,material,R,z1,l/R,Ct,ne,eta1,eta2,eta3,eta4,eta5,eta6,count_eta1,count_eta2,count_eta3,count_eta4,count_eta5,count_eta6,link
2.329,1.0,166000000.0,63900000.0,79600000.0,5.305114,Cube_10.0_1.0_20250802-112641,Silicon cubic,6.203506656207554,0.0,0.16119915,5846.174706140654,27,1.2016833,1.2958236,1.3633743,1.470597,1.5269399,1.595233,2,1,3,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_10.0_1.0_0.0_20250802-112641.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,282.33913,Cube_10.0_1.0_20250802-112642,Silicon cubic,6.203506656207554,0.0,0.16119915,5846.174706140654,216,1.068416,1.1733936,1.2165651,1.2973033,1.3029595,1.3171864,2,1,3,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_10.0_1.0_0.0_20250802-112642.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,3050.7706,Cube_10.0_1.0_20250802-112643,Silicon cubic,6.203506656207554,0.0,0.16119915,5846.174706140654,729,1.0438944,1.0766071,1.0784513,1.0799456,1.0829995,1.0860852,2,1,3,3,1,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_10.0_1.0_0.0_20250802-112643.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,5552.242606,Cube_10.0_1.0_20250802-112644,Silicon cubic,6.203506656207554,0.0,0.16119915,5846.174706140654,1000,0.9860009,0.9883778,0.9911947,0.9921246,0.9932347,0.999969,1,3,3,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_10.0_1.0_0.0_20250802-112644.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,5.305114,Cube_10.0_1.0_20250802-112641,Silicon cubic,6.203506656207554,0.1,0.16119915,5846.174706140654,27,1.3183083,1.4784434,1.5087527,1.6567666,1.7868722,1.7989461,2,3,1,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_10.0_1.0_0.1_20250802-112641.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,282.33913,Cube_10.0_1.0_20250802-112642,Silicon cubic,6.203506656207554,0.1,0.16119915,5846.174706140654,216,1.197648,1.3557187,1.3753792,1.5241264,1.5850964,1.6014176,2,1,3,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_10.0_1.0_0.1_20250802-112642.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,3050.7706,Cube_10.0_1.0_20250802-112643,Silicon cubic,6.203506656207554,0.1,0.16119915,5846.174706140654,729,1.1827862,1.3338287,1.3590668,1.505005,1.5543625,1.5687131,2,1,3,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_10.0_1.0_0.1_20250802-112643.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,5552.242606,Cube_10.0_1.0_20250802-112644,Silicon cubic,6.203506656207554,0.1,0.16119915,5846.174706140654,1000,1.1808148,1.3306471,1.3563728,1.5025251,1.5498075,1.5636929,2,1,3,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_10.0_1.0_0.1_20250802-112644.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,5.305114,Cube_10.0_1.0_20250802-112641,Silicon cubic,6.203506656207554,0.2,0.16119915,5846.174706140654,27,1.4124772,1.5774236,1.6932098,1.8169371,1.9341891,1.9483756,2,3,1,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_10.0_1.0_0.2_20250802-112641.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,282.33913,Cube_10.0_1.0_20250802-112642,Silicon cubic,6.203506656207554,0.2,0.16119915,5846.174706140654,216,1.2922621,1.4739318,1.5018959,1.6738951,1.7502884,1.7754091,2,3,1,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_10.0_1.0_0.2_20250802-112642.json&mode=6&magnif=6
