rho,l,C11,C12,C44,duration,name,material,R,z1,l/R,Ct,eta1,eta2,eta3,eta4,eta5,eta6,count_eta1,count_eta2,count_eta3,count_eta4,count_eta5,count_eta6,link
3.515,1.0,1079000000.0,124000000.0,578000000.0,3843.241439,Cube_0.80599575_1.0_20250612-020728,Carbon cubic,0.5,0.0,2.0,12823.342868880141,0.0085407,0.0085483,0.0085608,0.0086021,0.0086513,0.0090195,3,2,3,3,1,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_0.80599575_1.0_0.0_20250612-020728.json&mode=6&magnif=6
5.323,1.0,128900000.0,48300000.0,67099999.99999999,3852.976373,Cube_0.80599575_1.0_20250612-021349,Germanium cubic,0.5,0.0,2.0,3550.446942624478,0.0084273,0.008429,0.0084337,0.0084366,0.0084452,0.008601,3,3,2,3,1,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_0.80599575_1.0_0.0_20250612-021349.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,3866.266322,Cube_0.80599575_1.0_20250612-021915,Silicon cubic,0.5,0.0,2.0,5846.174706140654,0.008539,0.0085393,0.008543,0.0085477,0.0085559,0.0087581,3,3,2,3,1,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_0.80599575_1.0_0.0_20250612-021915.json&mode=6&magnif=6
3.515,1.0,1079000000.0,124000000.0,578000000.0,3843.241439,Cube_0.80599575_1.0_20250612-020728,Carbon cubic,0.5,0.1,2.0,12823.342868880141,0.5699656,0.6999026,0.7502465,0.7969453,0.8148038,0.832457,2,3,3,3,1,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_0.80599575_1.0_0.1_20250612-020728.json&mode=6&magnif=6
5.323,1.0,128900000.0,48300000.0,67099999.99999999,3852.976373,Cube_0.80599575_1.0_20250612-021349,Germanium cubic,0.5,0.1,2.0,3550.446942624478,0.5679628,0.617335,0.7017232,0.7131221,0.7482713,0.7669196,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_0.80599575_1.0_0.1_20250612-021349.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,3866.266322,Cube_0.80599575_1.0_20250612-021915,Silicon cubic,0.5,0.1,2.0,5846.174706140654,0.5684908,0.6361412,0.723997,0.7368577,0.7722301,0.7775037,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_0.80599575_1.0_0.1_20250612-021915.json&mode=6&magnif=6
3.515,1.0,1079000000.0,124000000.0,578000000.0,3843.241439,Cube_0.80599575_1.0_20250612-020728,Carbon cubic,0.5,0.2,2.0,12823.342868880141,0.8042173,0.9873787,1.0585178,1.1081111,1.1518627,1.1527185,2,3,3,3,1,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_0.80599575_1.0_0.2_20250612-020728.json&mode=6&magnif=6
5.323,1.0,128900000.0,48300000.0,67099999.99999999,3852.976373,Cube_0.80599575_1.0_20250612-021349,Germanium cubic,0.5,0.2,2.0,3550.446942624478,0.8014123,0.8708004,0.9864375,0.9920104,1.0557152,1.0760542,2,3,2,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_0.80599575_1.0_0.2_20250612-021349.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,3866.266322,Cube_0.80599575_1.0_20250612-021915,Silicon cubic,0.5,0.2,2.0,5846.174706140654,0.8021517,0.8973322,1.0192977,1.0234969,1.0880464,1.0895334,2,3,2,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_0.80599575_1.0_0.2_20250612-021915.json&mode=6&magnif=6
3.515,1.0,1079000000.0,124000000.0,578000000.0,3843.241439,Cube_0.80599575_1.0_20250612-020728,Carbon cubic,0.5,0.3,2.0,12823.342868880141,0.984209,1.2082907,1.2953939,1.3489063,1.4007753,1.4105567,2,3,3,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_0.80599575_1.0_0.3_20250612-020728.json&mode=6&magnif=6
