rho,l,C11,C12,C44,duration,name,material,R,z1,l/R,Ct,eta1,eta2,eta3,eta4,eta5,eta6,count_eta1,count_eta2,count_eta3,count_eta4,count_eta5,count_eta6,link
2.329,2.0,223100000.0,63900000.0,79600000.0,15276.638677,CarbSphere_10.0_2.0_20250429-083612,Siliconium,5.0,0.1,0.4,5846.174706140654,1.145838,1.1526037,1.359483,1.3625952,1.4996127,1.5050485,2,3,2,3,1,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_10.0_2.0_0.1_20250429-083612.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,15276.638677,CarbSphere_10.0_2.0_20250429-083612,Siliconium,5.0,0.2,0.4,5846.174706140654,1.3713071,1.3806225,1.6258712,1.6300971,1.8489947,1.9296579,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_10.0_2.0_0.2_20250429-083612.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,15276.638677,CarbSphere_10.0_2.0_20250429-083612,Siliconium,5.0,0.3,0.4,5846.174706140654,1.5623926,1.5738542,1.8163131,1.8210897,2.1135391,2.2788639,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_10.0_2.0_0.3_20250429-083612.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,15276.638677,CarbSphere_10.0_2.0_20250429-083612,Siliconium,5.0,0.4,0.4,5846.174706140654,1.7319519,1.7452776,1.9738668,1.9790387,2.3467583,2.5809891,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_10.0_2.0_0.4_20250429-083612.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,15276.638677,CarbSphere_10.0_2.0_20250429-083612,Siliconium,5.0,0.5,0.4,5846.174706140654,1.8861058,1.901094,2.1130369,2.1185455,2.5581495,2.8511808,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_10.0_2.0_0.5_20250429-083612.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,15276.638677,CarbSphere_10.0_2.0_20250429-083612,Siliconium,5.0,0.6,0.4,5846.174706140654,2.0284709,2.0449704,2.2401018,2.2459172,2.7530439,3.0978504,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_10.0_2.0_0.6_20250429-083612.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,15276.638677,CarbSphere_10.0_2.0_20250429-083612,Siliconium,5.0,0.7,0.4,5846.174706140654,2.1614201,2.1793129,2.3583303,2.3644334,2.9348537,3.326253,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_10.0_2.0_0.7_20250429-083612.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,15276.638677,CarbSphere_10.0_2.0_20250429-083612,Siliconium,5.0,0.8,0.4,5846.174706140654,2.2866169,2.305808,2.4696658,2.4760423,3.105937,3.5399349,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_10.0_2.0_0.8_20250429-083612.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,15276.638677,CarbSphere_10.0_2.0_20250429-083612,Siliconium,5.0,0.9,0.4,5846.174706140654,2.4052832,2.4256941,2.5753791,2.5820173,3.2680109,3.7414236,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_10.0_2.0_0.9_20250429-083612.json&mode=6&magnif=6
2.329,5.0,223100000.0,63900000.0,79600000.0,15212.068429,CarbSphere_10.0_5.0_20250429-083612,Siliconium,5.0,0.1,1.0,5846.174706140654,0.8343914,0.8411157,0.9814642,0.9846155,1.1304952,1.2588223,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_10.0_5.0_0.1_20250429-083612.json&mode=6&magnif=6
