rho,l,C11,C12,C44,duration,name,material,R,z1,l/R,Ct,eta1,eta2,eta3,eta4,eta5,eta6,link
2.329,2.0,223100000.0,63900000.0,79600000.0,15276.638677,CarbSphere_10.0_2.0_20250429-083612,Siliconium,10.0,0.1,0.2,5846.174706140654,2.2916761,2.3052073,2.7189661,2.7251904,2.9992255,3.0100969,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_10.0_2.0_0.1_20250429-083612.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,15276.638677,CarbSphere_10.0_2.0_20250429-083612,Siliconium,10.0,0.2,0.2,5846.174706140654,2.7426142,2.761245,3.2517424,3.2601942,3.6979894,3.8593158,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_10.0_2.0_0.2_20250429-083612.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,15276.638677,CarbSphere_10.0_2.0_20250429-083612,Siliconium,10.0,0.3,0.2,5846.174706140654,3.1247852,3.1477083,3.6326262,3.6421795,4.2270781,4.5577278,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_10.0_2.0_0.3_20250429-083612.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,15276.638677,CarbSphere_10.0_2.0_20250429-083612,Siliconium,10.0,0.4,0.2,5846.174706140654,3.4639038,3.4905553,3.9477336,3.9580773,4.6935166,5.1619782,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_10.0_2.0_0.4_20250429-083612.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,15276.638677,CarbSphere_10.0_2.0_20250429-083612,Siliconium,10.0,0.5,0.2,5846.174706140654,3.7722117,3.8021881,4.2260739,4.2370911,5.116299,5.7023616,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_10.0_2.0_0.5_20250429-083612.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,15276.638677,CarbSphere_10.0_2.0_20250429-083612,Siliconium,10.0,0.6,0.2,5846.174706140654,4.0569418,4.0899408,4.4802035,4.4918345,5.5060879,6.1957008,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_10.0_2.0_0.6_20250429-083612.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,15276.638677,CarbSphere_10.0_2.0_20250429-083612,Siliconium,10.0,0.7,0.2,5846.174706140654,4.3228402,4.3586258,4.7166606,4.7288669,5.8697074,6.6525061,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_10.0_2.0_0.7_20250429-083612.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,15276.638677,CarbSphere_10.0_2.0_20250429-083612,Siliconium,10.0,0.8,0.2,5846.174706140654,4.5732338,4.6116159,4.9393317,4.9520846,6.2118741,7.0798698,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_10.0_2.0_0.8_20250429-083612.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,15276.638677,CarbSphere_10.0_2.0_20250429-083612,Siliconium,10.0,0.9,0.2,5846.174706140654,4.8105664,4.8513881,5.1507583,5.1640346,6.5360217,7.4828471,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_10.0_2.0_0.9_20250429-083612.json&mode=6&magnif=6
2.329,5.0,223100000.0,63900000.0,79600000.0,15212.068429,CarbSphere_10.0_5.0_20250429-083612,Siliconium,10.0,0.1,0.5,5846.174706140654,1.6687827,1.6822314,1.9629283,1.9692311,2.2609905,2.5176447,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_10.0_5.0_0.1_20250429-083612.json&mode=6&magnif=6
