rho,l,C11,C12,C44,duration,name,material,R,z1,l/R,Ct,eta1,eta2,eta3,eta4,eta5,eta6,count_eta1,count_eta2,count_eta3,count_eta4,count_eta5,count_eta6,link
3.515,1.0,1079000000.0,124000000.0,578000000.0,68103.975923,Sphere_10.0_1.0_20250612-212914,Carbon cubic,5.0,0.0,0.2,12823.342868880141,0.659471,0.6598286,0.6613362,0.6623233,0.6638592,0.6645454,3,3,2,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_1.0_0.0_20250612-212914.json&mode=6&magnif=6
5.323,1.0,128900000.0,48300000.0,67099999.99999999,68038.810181,Sphere_10.0_1.0_20250612-213457,Germanium cubic,5.0,0.0,0.2,3550.446942624478,0.6568417,0.6581206,0.659399,0.6609798,0.6613867,0.662014,3,3,2,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_1.0_0.0_20250612-213457.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,67926.449822,Sphere_10.0_1.0_20250612-213855,Silicon cubic,5.0,0.0,0.2,5846.174706140654,0.6673734,0.6686037,0.6696267,0.6717673,0.6719351,0.6730042,3,3,2,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_1.0_0.0_20250612-213855.json&mode=6&magnif=6
3.515,1.0,1079000000.0,124000000.0,578000000.0,68103.975923,Sphere_10.0_1.0_20250612-212914,Carbon cubic,5.0,0.1,0.2,12823.342868880141,1.5685044,1.6616831,1.7375734,1.8647759,1.9159958,2.000007,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_1.0_0.1_20250612-212914.json&mode=6&magnif=6
5.323,1.0,128900000.0,48300000.0,67099999.99999999,68038.810181,Sphere_10.0_1.0_20250612-213457,Germanium cubic,5.0,0.1,0.2,3550.446942624478,1.3881386,1.5517147,1.6481543,1.7198402,1.8493097,1.85919,3,2,2,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_1.0_0.1_20250612-213457.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,67926.449822,Sphere_10.0_1.0_20250612-213855,Silicon cubic,5.0,0.1,0.2,5846.174706140654,1.4251601,1.6030065,1.6515703,1.774812,1.8875765,1.9104171,3,2,2,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_1.0_0.1_20250612-213855.json&mode=6&magnif=6
3.515,1.0,1079000000.0,124000000.0,578000000.0,68103.975923,Sphere_10.0_1.0_20250612-212914,Carbon cubic,5.0,0.2,0.2,12823.342868880141,1.6809163,1.7796725,1.864296,2.0133086,2.0602005,2.2382334,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_1.0_0.2_20250612-212914.json&mode=6&magnif=6
5.323,1.0,128900000.0,48300000.0,67099999.99999999,68038.810181,Sphere_10.0_1.0_20250612-213457,Germanium cubic,5.0,0.2,0.2,3550.446942624478,1.4883192,1.6467463,1.7666229,1.9258851,2.0227396,2.0342162,3,2,2,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_1.0_0.2_20250612-213457.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,67926.449822,Sphere_10.0_1.0_20250612-213855,Silicon cubic,5.0,0.2,0.2,5846.174706140654,1.5278914,1.7009017,1.7698476,1.9873354,2.0417037,2.1012801,3,2,2,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_1.0_0.2_20250612-213855.json&mode=6&magnif=6
3.515,1.0,1079000000.0,124000000.0,578000000.0,68103.975923,Sphere_10.0_1.0_20250612-212914,Carbon cubic,5.0,0.3,0.2,12823.342868880141,1.7843189,1.8879191,1.9631155,2.1285278,2.1887169,2.4503995,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_1.0_0.3_20250612-212914.json&mode=6&magnif=6
