rho,l,C11,C12,C44,duration,name,material,R,z1,l/R,Ct,eta1,eta2,eta3,eta4,eta5,eta6,count_eta1,count_eta2,count_eta3,count_eta4,count_eta5,count_eta6,link
3.515,1.0,1079000000.0,124000000.0,578000000.0,3338.677068,Sphere_0.5_1.0_20250617-111521,Carbon cubic,0.5,0.0,2.0,12823.342868880141,0.0087782,0.0087927,0.0088169,0.0088951,0.0089464,0.0089616,3,2,3,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_0.5_1.0_0.0_20250617-111521.json&mode=6&magnif=6
5.323,1.0,128900000.0,48300000.0,67099999.99999999,3338.419688,Sphere_0.5_1.0_20250617-111815,Germanium cubic,0.5,0.0,2.0,3550.446942624478,0.0087896,0.0088079,0.0088333,0.0088397,0.0088602,0.008897,3,2,3,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_0.5_1.0_0.0_20250617-111815.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,3351.517615,Sphere_0.5_1.0_20250617-112035,Silicon cubic,0.5,0.0,2.0,5846.174706140654,0.0089195,0.008938,0.0089679,0.0090134,0.0090341,0.0090737,3,2,3,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_0.5_1.0_0.0_20250617-112035.json&mode=6&magnif=6
3.515,1.0,1079000000.0,124000000.0,578000000.0,3338.677068,Sphere_0.5_1.0_20250617-111521,Carbon cubic,0.5,0.1,2.0,12823.342868880141,0.7621518,0.7989596,0.8006277,0.8735619,0.9341041,1.0447768,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_0.5_1.0_0.1_20250617-111521.json&mode=6&magnif=6
5.323,1.0,128900000.0,48300000.0,67099999.99999999,3338.419688,Sphere_0.5_1.0_20250617-111815,Germanium cubic,0.5,0.1,2.0,3550.446942624478,0.6764192,0.6953238,0.7955536,0.8741356,0.9413578,0.9914335,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_0.5_1.0_0.1_20250617-111815.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,3351.517615,Sphere_0.5_1.0_20250617-112035,Silicon cubic,0.5,0.1,2.0,5846.174706140654,0.6941697,0.7179584,0.7967836,0.8771729,0.971292,1.0225829,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_0.5_1.0_0.1_20250617-112035.json&mode=6&magnif=6
3.515,1.0,1079000000.0,124000000.0,578000000.0,3338.677068,Sphere_0.5_1.0_20250617-111521,Carbon cubic,0.5,0.2,2.0,12823.342868880141,1.0750055,1.1091909,1.1292361,1.2134474,1.3176244,1.4413251,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_0.5_1.0_0.2_20250617-111521.json&mode=6&magnif=6
5.323,1.0,128900000.0,48300000.0,67099999.99999999,3338.419688,Sphere_0.5_1.0_20250617-111815,Germanium cubic,0.5,0.2,2.0,3550.446942624478,0.9540875,0.9638698,1.1221105,1.2139516,1.328112,1.4013911,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_0.5_1.0_0.2_20250617-111815.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,3351.517615,Sphere_0.5_1.0_20250617-112035,Silicon cubic,0.5,0.2,2.0,5846.174706140654,0.9791234,0.9952711,1.1238374,1.2178074,1.3703413,1.4454202,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_0.5_1.0_0.2_20250617-112035.json&mode=6&magnif=6
3.515,1.0,1079000000.0,124000000.0,578000000.0,3338.677068,Sphere_0.5_1.0_20250617-111521,Carbon cubic,0.5,0.3,2.0,12823.342868880141,1.3154455,1.34959,1.3817893,1.4767154,1.6123629,1.750044,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_0.5_1.0_0.3_20250617-111521.json&mode=6&magnif=6
