rho,l,C11,C12,C44,duration,name,material,R,z1,l/R,Ct,eta1,eta2,eta3,eta4,eta5,eta6,count_eta1,count_eta2,count_eta3,count_eta4,count_eta5,count_eta6,link
2.329,1.0,223100000.0,63900000.0,79600000.0,2985.170183,Sphere_1.25_1.0_20250606-112229,Siliconium,1.25,0.0,0.8,5846.174706140654,0.0345021,0.0345104,0.0349117,0.035411,0.0360748,-,2,3,3,3,3,-,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_1.25_1.0_0.0_20250606-112229.json&mode=6&magnif=6
5.323,1.0,182500000.0,48300000.0,67100000.0,2665.118966,Sphere_1.25_1.0_20250606-114247,Germanium,1.25,0.0,0.8,3550.4469426244787,0.0343277,0.0343343,0.0347238,0.0352153,0.0358817,-,2,3,3,3,3,-,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_1.25_1.0_0.0_20250606-114247.json&mode=6&magnif=6
3.515,1.0,1280000000.0,124000000.0,578000000.0,2646.16215,Sphere_1.25_1.0_20250606-114346,Carbonium,1.25,0.0,0.8,12823.342868880141,0.0330996,0.0331062,0.0333874,0.03378,0.0343489,-,3,2,3,3,3,-,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_1.25_1.0_0.0_20250606-114346.json&mode=6&magnif=6
2.329,1.0,223100000.0,63900000.0,79600000.0,2985.170183,Sphere_1.25_1.0_20250606-112229,Siliconium,1.25,0.1,0.8,5846.174706140654,1.6198971,1.6481388,1.8249586,1.8333667,2.2235167,2.5335215,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_1.25_1.0_0.1_20250606-112229.json&mode=6&magnif=6
5.323,1.0,182500000.0,48300000.0,67100000.0,2665.118966,Sphere_1.25_1.0_20250606-114247,Germanium,1.25,0.1,0.8,3550.4469426244787,1.6198618,1.6479508,1.822698,1.8316448,2.2020488,2.5326969,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_1.25_1.0_0.1_20250606-114247.json&mode=6&magnif=6
3.515,1.0,1280000000.0,124000000.0,578000000.0,2646.16215,Sphere_1.25_1.0_20250606-114346,Carbonium,1.25,0.1,0.8,12823.342868880141,1.619643,1.6467733,1.8014101,1.8150038,2.0027751,2.3130088,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_1.25_1.0_0.1_20250606-114346.json&mode=6&magnif=6
2.329,1.0,223100000.0,63900000.0,79600000.0,2985.170183,Sphere_1.25_1.0_20250606-112229,Siliconium,1.25,0.2,0.8,5846.174706140654,2.277788,2.3178069,2.500889,2.5117046,3.127822,3.5787531,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_1.25_1.0_0.2_20250606-112229.json&mode=6&magnif=6
5.323,1.0,182500000.0,48300000.0,67100000.0,2665.118966,Sphere_1.25_1.0_20250606-114247,Germanium,1.25,0.2,0.8,3550.4469426244787,2.2777386,2.3175411,2.4981792,2.5096661,3.0975649,3.577587,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_1.25_1.0_0.2_20250606-114247.json&mode=6&magnif=6
3.515,1.0,1280000000.0,124000000.0,578000000.0,2646.16215,Sphere_1.25_1.0_20250606-114346,Carbonium,1.25,0.2,0.8,12823.342868880141,2.2774319,2.3158761,2.4729539,2.4902192,2.8168376,3.1411664,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_1.25_1.0_0.2_20250606-114346.json&mode=6&magnif=6
2.329,1.0,223100000.0,63900000.0,79600000.0,2985.170183,Sphere_1.25_1.0_20250606-112229,Siliconium,1.25,0.3,0.8,5846.174706140654,2.7843381,2.8333845,3.0277132,3.0405109,3.8239263,4.3813483,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_1.25_1.0_0.3_20250606-112229.json&mode=6&magnif=6
5.323,1.0,182500000.0,48300000.0,67100000.0,2665.118966,Sphere_1.25_1.0_20250606-114247,Germanium,1.25,0.3,0.8,3550.4469426244787,2.7842778,2.8330589,3.0245853,3.0381683,3.7869116,4.3799201,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_1.25_1.0_0.3_20250606-114247.json&mode=6&magnif=6
3.515,1.0,1280000000.0,124000000.0,578000000.0,2646.16215,Sphere_1.25_1.0_20250606-114346,Carbonium,1.25,0.3,0.8,12823.342868880141,2.7839032,2.8310199,2.9955963,3.0159298,3.4435417,3.7915152,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_1.25_1.0_0.3_20250606-114346.json&mode=6&magnif=6
2.329,1.0,223100000.0,63900000.0,79600000.0,2985.170183,Sphere_1.25_1.0_20250606-112229,Siliconium,1.25,0.4,0.8,5846.174706140654,3.2119699,3.2686235,3.4751566,3.4896735,4.4115223,5.0581569,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_1.25_1.0_0.4_20250606-112229.json&mode=6&magnif=6
5.323,1.0,182500000.0,48300000.0,67100000.0,2665.118966,Sphere_1.25_1.0_20250606-114247,Germanium,1.25,0.4,0.8,3550.4469426244787,3.2119004,3.2682476,3.4716531,3.4870555,4.3688061,5.0565078,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_1.25_1.0_0.4_20250606-114247.json&mode=6&magnif=6
3.515,1.0,1280000000.0,124000000.0,578000000.0,2646.16215,Sphere_1.25_1.0_20250606-114346,Carbonium,1.25,0.4,0.8,12823.342868880141,3.4e-06,3.2114685,3.2658931,3.4392585,3.462267,3.9725771,4.3453606,1,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_1.25_1.0_0.4_20250606-114346.json&mode=6&magnif=6
2.329,1.0,223100000.0,63900000.0,79600000.0,2985.170183,Sphere_1.25_1.0_20250606-112229,Siliconium,1.25,0.5,0.8,5846.174706140654,3.5890054,3.6523594,3.871071,3.8871259,4.9295674,5.6545282,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_1.25_1.0_0.5_20250606-112229.json&mode=6&magnif=6
5.323,1.0,182500000.0,48300000.0,67100000.0,2665.118966,Sphere_1.25_1.0_20250606-114247,Germanium,1.25,0.5,0.8,3550.4469426244787,3.5889278,3.651939,3.867226,3.8842567,4.8818259,5.6526844,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_1.25_1.0_0.5_20250606-114247.json&mode=6&magnif=6
3.515,1.0,1280000000.0,124000000.0,578000000.0,2646.16215,Sphere_1.25_1.0_20250606-114346,Carbonium,1.25,0.5,0.8,12823.342868880141,3.5884454,3.6493067,3.8317235,3.8571318,4.4390035,4.8361026,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_1.25_1.0_0.5_20250606-114346.json&mode=6&magnif=6
